first_name,last_name,aliases,table
Amelia,Thompson,"Amy|Mia Thompson",1
Benjamin,Van der Meer,"Ben|Benny",1
Charlotte,Li,"Charlie|李夏洛",2
Daniel,Wong,"Dan|Danny|王大卫",2
Elise,De Vries,"Lise|Elisa",3
Frederik,Jansen,"Fred|Freddie",3
Grace,Chen,"Gracie|陈嘉欣",4
Hugo,Martins,"Hugh|Huguinho",4
Isabella,Rocha,"Bella|Isa",5
James,O'Connor,"Jamie|Jim",5
Katherine,Nguyen,"Kate|Katie",6
Lucas,Bakker,"Luke|Luuk",6
Mei Lin,Zhang,"Mei|May|张美琳",7
Noah,Wilson,"Noey",7
Olivia,Santos,"Liv|Livia",8
Pieter,De Jong,"Pete|Piet",8
Qiao,Yu,"乔|余乔",9
Rosalie,Vermeer,"Rose|Roos",9
Samuel,Silva,"Sam|Sammy",10
Theodora,Brown,"Thea|Teddy",10
